Acronym,Translation,Description
DCI,Dossier de Contrôle des Interfaces,
DCIU,Digital Control Interface Unit,
DCL,Declared Components List,
DCR,Document Change Request,
DD,Displacement Damage,
DDE,Diagnostics Drive Electronics,
DDF,Design Definition File,
DDPC,Distributed Data Processing Centre,The Data Processing Center in France
DDS,Data and Diagnostic Subsystem,Is now SDS - Science Diagnostic Subsystem
DDVP,"Design, Development and Verification Plan",
DEEP2,Deep Extragalactic Evolutionary Probe 2,
DF,drag-free,
DFACS,Drag-Free Attitude Control System,
DGMM,Detailed Geometrical Mathematical Model,
DHLC,Data Handling And Laser Control,
DJF,Design Justification File,
DLL,delay-locked loop,
DLR,Deutsches Zentrum für Luft- und Raumfahrt,German Aerospace Center
DM,Differential Mode,
DM,Development Model,
DM,Dark Matter,
DML,Declared Material List,
DMPL,Declared Mechanical Part List,Also the name of the tool now used to collect all materials and processes
DMS,Document Management System,
DMU,Data Management Unit,
DNEL,Disconnection of Non-Essential Loads,
DOD,Depth Of Discharge,
DOF,Degrees Of Freedom,
DP,Diagnostic Package,
DPA,Destructive Physical Analysis,
DPC,Data Processing Centre,
DPL,Declared Process List,
DPL,Daily Pipeline,
DPLL,Digital Phase Locked Loop,
DPS,Differential Power Sensing,
DR,data release,
DRB,Delivery Review Board,
DRPT,Data Release Product Team,
DRD,Document Requirements Definition,
DRL,Document Requirements List,
DRS,Disturbance Reduction System,
DS,Diagnostics Subsystem,
DSA,Deep Space Antenna,
DSC,Daughter Space Craft,
DSCU,Diagnostics Signal Conditioning Unit,"Diagnostics Signal Conditioning Unit (confirmed at LIG PM3, orally, by Miquel)"
DSN,Deep Space Network,
DSP,Data Signal Processing,
DST,Deep Space Transponder,
DTCP,Daily Telemetry Communications Period,
DTM,Deterministic Transfer Manoeuvre,
DTMM,Detailed Thermal Mathematical Model,
DTU,Danmarks Tekniske Universitet,Technical University of Denmark
DUT,Device under test,
DWD,Double White Dwarf (binary),
DWS,Differential Wavefront Sensing,
E2E,End-to-End,
EAR,Export Authorisation Regulation,
EBB,Engineering (or Elegant) Bread Board,
EBM,External Balance Mass,
EC,Export Control,
EC,Executive Committee,
ECDL,Extended Cavity Diode Laser,
ECSS,European Cooperation for Space Standardization,
ECP,Export Control Plan,
EDU,Engineering Development Unit,
EED,Electro-Explosive Device,
EEE,"Electrical, Electronic and Electro-mechanical",
EEPROM,Electrically Erasable Programmable Read-Only Memory,
EFC2,ESA/ESTEC Frame Contract 2,
EGAPS,European Galactic Plane Surveys,
EGSE,Electrical Ground Support Equipment,
EH,Electrode Housing,
EID,Experiment Interface Document,
EIDP,End Item Data Package,
EIRP,Effective Isotropic Radiative Power,
ELISA,Evolved Laser Interferometer Space Antenna,
ELITE,European LISA Technology Experiment,
ELT,Extremely Large Telescope,
ELV,Expendable Launch Vehicle,
EM,Engineering Model,
EMC,Earth-Mean Ecliptic,Reference Frame
EMC,Electro-Magnetic Compatibility,
EME,Earth Mean Equator of J2000,Reference Frame
EMI,Electro-Magnetic Interference,
EMRB,Extreme Mass-Ratio Bursts,
EMRI,Extreme Mass-Ratio Inspiral,
EOB,effective one-body,
eNCTS,Nonconformance tracking ,Tool for entering all NCR information
EOC,End Of Charge,
EOD,End Of Discharge,
EOL,End-Of-Life,
EOM,Electro-Optical Modulator,
EOM,Equations of Motion,
EPPL,European Preferred Part List,
EPMS,Extended Phase Measuring System,"""Phasemeter - does more than just measure phase (clock transfer, ranging, data format, ..."""
EPS,Electrical Power System,
EPS,Extended Press-Schechter Formalism,
EPTA,European Pulsar Timing Array,
EQM,Engineering Qualification Model,
ERST,Early Release Science Time,
ESA,European Space Agency,
ESAC,European Space Astronomy Centre,"In Madrid, Spain"
ESDC,ESAC Science Data Centre,
ESCC,European Space Components Coordination,
ESD,Electrostatic Discharge,
ESOC,European Space Operations Centre,"In Darmstadt, Germany"
ESP,Extended Science Phase,
ESTEC,European Space Research and Technology Centre,"in Noordwijk, Netherlands"
ESTRACK,European Space TRACKing,
ET,Einstein Telescope,
"ETH, ETHZ",Eidgenössische Technische Hochschule Zürich,
ETU,Engineering Thermal Unit,
EW,Electroweak,
FA,Fiber Amplifier,
FAQ,Frequently Asked Question(s),
FBD,Functional Block Diagram,
FCC,Future Circular Collider,
FCL,Fold-back Current Limiter,
FCV,Flow Control Valve ,
FCV,Functional Configuration Verification,
FD,Flight Dynamics,
FDDB,Flight Dynamics Data Base,
FDIR,"Failure Detection, Isolation, And Recovery",
FDS,Frequency Distribution System,
FDV,Fill and Drain Valve,
FE,Finite Element,
FEE,Front-End Electronics,
FEE SAU,Front-End Electronics Sensing And Actuation Unit,
FEEP,Field-Emission Electric Propulsion,
FEM,Finite Element Model,
FER,Frame Error Rate,
"FF OGSE, FF-OGSE, FFOGSE",Far-Field Optical Ground Support Equipment,Optical Bench
FFPT,Full Functional Performance Test,
FFT,Full Functional Test,
FIOS,Fibre Injector Optical Subassembly,
FIT,Failure In Time (per billion cycles),
FITS,Flexible Image Transport System,A widely used data format for images
FM,Flight Model,
FMEA,"Failure Mode, Effects and Analysis",
FMECA,Failure Mode Effects and Criticality Analysis,
FMT,Formulation Management Team,
FOH,Fibre Optical Harness,
FO,Fibre optics,
FOM,Figures of Merit,
FOP,Flight Operations Plan,
FOPT,First-Order Phase Transition,
FOS,Factor of Safety,
FOV,Field of View,
FPAG,Fundamental Physics Advisory Group,
FPGA,Field-Programmable Gate Array,
FPWG,Fundamental Physics Working Group,
FRS,Frequency Reference System,
FRS-E,Frequency Reference System- Electrical ,
FRS-O,Frequency Reference System- Optical ,
FS,Flight Spare,
FS,Flight Segment,
FSM,Finite State Machine,
FSU,Fibre Switching Unit,
FSUA,Fiber Switch Unit Actuator,"[IDS doc] Each OB has two Fibre-Switch-Units (FSUs), one to provide the means to switch between the prime and redundant OB feed fibres (coming from the laser system) and one to switch between the prime and redundant backlink fibre."
FTE,Full-Time Equivalent,
FUMO,Functional Model,
FVV,Fill and Vent Valve,
FWHM,Full Width Half Maximum,
FZU,Institute of Physics of the Czech Academy of Sciences,
GB,Galactic Binary,
GBS,Galactic Binaries,
GCR,Galactic Cosmic Ray,
GCRS,Geocentric Celestial Reference System,
GND,Ground,
GOAT,Gravitational Observatory Advisory Team,
GPRM,"Grabbing, Positioning & Release Mechanism",
GR,General Theory Of Relativity,
GR740,LEON4 SPARCv8 microprocessor,
GRACE,Gravity Recovery and Climate Experiment,
GRACE-FO,GRACE Follow-On,
GRB,Gamma-Ray Burst,
GRS,Gravitational Reference Subsystem,
GRS-FEE,Gravitational Reference Subsystem Front End Electronics,GRS-FEE=GRS-SAU + GRS-PCU
GRSH,Gravitational Reference Subsystem Head,
GS,Ground Station,
GS,Ground Segment,
GSE,Ground Support Equipment,
GSIR,Ground Segment Implementation Review,
GSF,Gravitational Self-Force,
GSFC,Goddard Space Flight Center,
GSORR,Ground Segment Operations Readiness Review,
GSRR,Ground Segment Readiness Review,
GTO,Geostationary Transfer Orbit,"refers to variation of TTL between what was measured on ground during AIVT, and what we end up with in space -"
GUT,Grand Unified Theory,
GW,Gravitational Wave,
GW-WG,Gravitational-wave Observatory Working Group,
"H/W, HW",Hardware,
HBR,High Bit Rate,
HC-HPC,High Current-High Power Command,
HDF,Hierarchical Data Format,
HDRM,Hold Down and Release Mechanism,
HDSW,Hardware-Dependent Software,
HEO,High Earth Orbit,
HETO,Heliocentric Earth Trailing Orbit,
HG,Mercury,The Element.
HGA,High-Gain Antenna,
HK,Housekeeping,
HL-LHC,High Luminosity Large Hadron Collider,
HPC,High Power Command,
HR,High Resolution,
HR-LA,High Resolution Low Authority,GRS mode 
HR-MA,High Resolution Maximum Authority,
HSIA,Hardware Software Interaction Analysis,Very important dependability analysis 
HST,Hubble Space Telescope,
HSU,Harness Splicing Unit,
HV-HPC,High Voltage-High Power Command,
"I&T, IT",Integration and Test(ing),
"I/F, IF",interface,
IA,Instrument Amplifier,
IAAS,Infrastructure As A Service,
IAU,International Astronomical Union,
IBM,Internal Balance Mass,
ICC,Instrument Control Computer,
ICD,Interface Control Document,
ICRF,International Celestial Reference Frame,
ICRS,International Celestial Reference System,
ICSO,Innermost Stable Circular Orbit,
IDA,Initial Displacement Angle,
IDL,Interferometer Data Log,
IDM,Information Documentation Management,
IDS,Interferometric Detection Subsystem,"Contains the Optical Bench, Phasemeter and Optical Bench Mechanism Control Unit (MCU)."
IEEC,Institut d’Estudis Espacials de Catalunya,
IF,Interface,
IFO,InterFerOmeter,
IFP,In-Field Pointing,
IGM,Inter-Galactic Medium,
ILS,Instrument Line of Sight,
IMA,Integrated Modular Avionics,
IMBH,Intermediate-Mass Black Hole,
IMBHB,Intermediate Mass Black Hole Binary,
IMF,Initial Mass Function,
IMR,Inspiral-Merger-Ringdown,
IMRI,Intermediate Mass-Ratio Inspiral,
IMS,Interferometric Measurement System,
IN2P3,National Institute of Nuclear and Particle Physics,
INFN,Instituto Nazionale di Fisica Nucleare (National Institute for Nuclear Physics),
InGaAs,Indium-Gallium Arsenide,
INPTA,Indian pulsar Timing Array,
INREP,Initial Noise Reduction Pipeline,This is a part of the L0 to L1 pipeline
INSPRL,Interferometer in Space for Detecting Gravity-wave Radiation using Lasers,
IOT,Instruments Operations Team,
IPC,Industrial Policy Committee,
IPT,Integrated Product Team,
IPTF,intermediate Palomar Transient Factory,
IR,Infra-red,
IRD,Interface Requirement Document,
ISC,Inter-spacecraft Laser Communication,
ISH,Inertial Sensor Head,
ISI,Inter-Satellite Interferometer,
ISM,Instrument Sensitivity Model,
ISPE,Instrument Scientists \& Payload Experts,
ISUK,Inertial Sensor UV Kit,
ISVV,Independent Software Verification and Validation,
IT,Information Technology,
ITAR,International Traffic in Arms Regulations,
ITAT,Integrated Technical Advisory Team(s),
ITRF,International Terrestrial Reference Frame,Reference Frame
ITT,Invitation To Tender,
JILA,Joint Institute For Laboratory Astrophysics,
JPIP,Joint Project Implementation Plan,
JPL,Jet Propulsion Laboratory,
JWST,James Webb Space Telescope,
KAGRA,Kamioka Gravitational-wave Detector,
KO,Kick-off,
KIP,Key Inspection Point,
KPI,Key Performance Indicator,
KRU,Kourou,
"KU, KUL",Katholieke Universiteit Leuven,
L0,Level 0 data,Raw data from the observatory
L0.5,Level 0.5 data,
L1,Level 1 data,TDI data streams
L2,Level 2 data,After global fit. Probablity functions for individual sources.
L3,Level 3 data,Catalogue of sources.
L3ST,L3 Study Team,
LA,Launch Adapter,
LAT,Lot Acceptance Test,
LBR,Low Bit Rate,
LAGOS,Laser Antenna For Gravitational-Radiation Observation In Space,
LCA,LISA Core Assembly,
LCC,Life Cycle Cost,
LCL,Latching Current Limiter,
LCL,LISA Consortium Lead,
LCM,Spacecraft Composite Stack,
LD,Laser Diode,
LDB,LISA Mission Database,
LDC,LISA Data Challenge,Formerly called MLDC
LDCWG,LISA Data Challenge Working Group,
LDP,LISA Data Processing,
LDPC,Low-Density Parity Check,
LDPG,LISA Data Progressing Group,
LED,Light-Emitting Diode,
LEM,Laser Electronics Module,
LEOP,Launch and Early Operations Phase,
LFS,Laser Frequency Stabilisation,
LGA,Low-Gain Antenna,
LH,Laser Head,
LHC,Large Hadron Collider,
LHCP,Left Hand Circular Polarization,
LI,List,
LIC,Lisa Instrument Consortium,Payload providers
LID / LIC,Laser Induced Damage (LID) and Laser Induced Contamination (LIC),Has been tested for LISA and does not seem to be a major issue
LIG,LISA Instrument Group,
LIGO,Laser Interferometer Gravitational Wave Observatory,
LIMAS,LISA Instrument and Metrology Avionics System,
LISA,Laser Interferometer Space Antenna,
LISN,Line Impedance Stabilization Network,
LISPEG,LISA Instrument Scientists and Payload Experts Group,
LIST,Lisa International Science Team,
LLAP,Low Latency Alert Pipeline,
LLD,Launch Lock Device,
LLI,Long Lead Item,
LM,Life Model,
LMC,Large Magellanic Cloud,
LMF,LISA Mission Formulation,
LMT,Large Momentum Transfer,
LO,Local Oscillator,
LOA,Letter of Agreement,
LOCS,LISA Opto-mechanical Core System,
LOLIPP,Level 0 To Levl 1 Pipeline Procedure,
LOM,Laser Optical Module,
LOS,Line Of Sight,
LPF,Lisa Pathfinder,
LPS,Launch Power Supply,
LRI,Laser-Ranging Interferometer,
LRR,Launch Readiness Review,
LS,Laser System,
LSA,Launch Service Agreement,
LSB,Least Significant Bit,
LSG,Lisa Science Group,People from the community but not in the LISA Study Team
LSGCORE,LISA Science Group Core Team,
LSO,Last Stable Orbit,
LSST,Large Synoptic Survey Telescope,
LST,LISA Science Team,
LTP,Lisa Pathfinder Technology Package,
LTPDA,LISA Technology Package Data Analysis,LTPDA is a MATLAB toolbox that uses an object-oriented approach to data analysis (https://www.elisascience.org/ltpda/)
LUT,Look-Up Table,
LV,Launch vehicle,
LV,Latch Valve,
LVA,Launch Vehicle Adaptor,
LVDS,Low Voltage Differential Signalling,
LVK,"LIGO, Virgo, and KAGRA",
MA,Mission Assurance,
MAC,Mass Acceleration Curve,
MAIT,Manufacturing Assembly Integration Tolerances,Very useful flowchart that helps with testing and preparations
MAR,Mission Adoption Review,
MAXI,Monitor Of All-Sky X-Ray Image,
MBH,Massive Black Hole,
MBHB,Massive Black Hole Binary,
MBW,Measurement Bandwidth,
MCI,"Mass, Center of gravity and Inertia",
MCMC,Markov-Chain Monte Carlo,
MCR,Mission Consolidation Review,
MCU,Mechanism Control Unit,"[IDS doc] The Mechanism Control Unit (MCU) is an avionics unit dedicated to the control of the mechanisms mounted on the optical bench. These mechanisms are: the PAAM, the FSUA and the BAM. The unit shall interface with the mechanisms to provide power and command and control functions."
MDR,Main Data Repository,
MECC,Merger Event Coordination Committee,
MEDA,Mean Earth Displacement Angle,
MEL,Master Equipment List,
MEOP,Maximum Expected Operating Pressure,
MEP,Maximum Expected Pressure,
MFR,Mission Formulation Review,
MFS,Main Frequency Stabilisation,
MGSE,Mechanical Ground Support Equipment,
MIB,Mission Information Base,
MICD,Mechanical Interface Control Document,
MICINN,Ministerio de Ciencia e Innovación del Reino de España,
MIDA,Mean (Earth) Initial Displacement Angle,
MIFO,Metallic Interferometer,
MIL,(Spec) Specification Of The US Department Of Defence,
MIN,Minimum,
MIP,Mandatory Inspection Point,
MIRD,Mission Implementation Requirement Document,
MLA,Multi-Lateral Agreement,
MLB,Motorised Light Band,
MLDC,Mock Lisa Data Challenge,
MLI,Multi Layer Insulation,
MM,Mission Manager,
MMAWP,Multi-Messenger Astrophysics Work Package,
MMH,Monomethyl Hydrazine,
MMIC,Monolithic Microwave Integrated Circuit,
MO,Maser Oscillator,
MO,molybdenum,
MOAD,Mission Operations Assumptions Document,
MOC,Mission Operations Centre,
MOFPA,Master Oscillator Fibre Power Amplifier,
MOI,Moment of Inertia,
MON-3,Mixed Oxides Of Nitrogen With Si3 Nitric Oxide,
MOPA,Master Oscillator Power Amplifier,
MOQ,Minimum Order Quantity,
MOS,Margin of Safety,
MOSA,Moving Optical Sub-Assembly,"Telescope, an optical bench, a gravitational reference sensor (including free falling TM) and a support structure"
MOT,Magneto-Optical Trap,
MOTHER-S/C,Mother spacecraft,
MOU,Memorandum of Understanding,"""Contract between ESA and the international partners (such as NASA)"""
MPA,Micro Propulsion Assembly,Composed by MTA + MPE
MPE,Max Planck Institute for Extraterrestrial Physics,
MPE,Micro Propulsion Electronics,
MPR,Mission Performance Requirement,
MPS,Micro Propulsion System,
MR,Measurement Requirement,
MR,Mission Requirement,
MRB,Material Review Board,Former term for NRB (NCR Review Board)
MRD,Mission Requirements Document,
MRF,Mechanical Reference Frame,
MSB,Material Review Board,
MSS,Mosa Support Structure,
MTA,Micro Propulsion Thruster Assembly,
MTL,Mission Time Line,
MRL,Manufacturing readiness Level,
MTR,Mid-Term Review,
MTS,Metasurface (antennas),
NA,Numerical Aperture,
"NA, N/A ",Not Applicable,
NANOGRAV,North American Nanohertz Observatory for Gravitational Waves,
NASA,National Aeronautic and Space Administration,
NCO,numerically controlled oscillator,
NCR,Non Conformance Report,
NCTS,Non-Conformance Tracking System,Also referred to as eNCTS
NDA,Non-Disclosure Agreement,
NDA,Non-Destructive Analysis,
NDI,Non-Destructive Inspection,
NEA,Non Explosive Actuator,
NECP,Near Earth Commissioning Phase,
NEP,Noise Equivalent Power,
NGGM,Next-Generation Gravity Mission,
NGMP,Next Generation Micro Processor,
NGO,New Gravitational Wave Observatory,
NGRM,Next Generation Radiation Monitor,
NICM,NASA Instrument Cost Model,
NLS,NASA Launch Services,
NLSO,NASA LISA Study Office,
NLST,Nasa Lisa Study Team,
NPMB,National Project Manager Board,Meetings of all the stakeholders and contributors to LISA hardware
NPRO,Non-Planar Ring Oscillator,
NR,Numerical Relativity,
NRB,Nonconformance Review Board,
NRAC,Non-Recurrent Agent Cost,
NRC,National Research Council,
NRC,Non-Recurrent Cost,
NRE,Non-Recurring Engineering,
NRE,Non-Recurrent Expense,
NRT,Near-Real-Time Pipeline,
NRVC,Non-Recurrent Vendor Cost,
NRZ-L,Non Return To Zero Level,
NS,Neutron Star,
NSGS,NASA Science Ground Segment,
NSP,Nominal Science Phase,
NSPIRES,NASA Solicitation and Proposal Integrated Review and Evaluation System,
NTC,Negative Temperature Coefficient,"(some DIAG temp. sensors). NTC stands for Negative Temperature Coefficient. NTC thermistors are resistors with a negative temperature coefficient, which means that the resistance decreases with increasing temperature. They are primarily used as resistive temperature sensors and current-limiting dev"
NWNH,New Worlds New Horizons,
OAM,Optical Assembly Mechanics,
OAS,Optical Assembly Subsystem,
OATM,Optical Assembly Tracking Mechanism,
OB,Optical Bench,
OBA,Optical Bench Assembly,
OBC,On-Board Computer,
OBCP,On-Board Control Procedure,
OBS,Organisation Breakdown Structure,
OBSW,On-Board Software,
OBT,On-Board Time,
OCP,Over Current Protection,
OCR,Observatory Commissioning Review,
OGS,Operational Ground Segment,
OGSE,Optical Ground Support Equipment,
OICD,Optical ICD,
OIRF,Optical Interface Reference Frame,
OM,Optical Model,
OMS,Optical Metrology System,
OP,Optical Path,
OPL,Optical Path Length,
OR,Operational Requirement,
ORO,Optical Read-Out,
OT,optical truss,
OTS,Optical Test Subsystem ,
OTS,Off The Shelf,
OVP,Over Voltage Protection,
PA,Product Assurance,
PA&S,Product Assurance and Safety,
PA,Power Amplifier,
PAA,Point-Ahead Angle,
PAAM,Point-Ahead Angle Mechanism,The PAAM is a steering mirror that points ahead the outgoing (RX) beam to compensate for the distance the distant spacecraft moves in the light travel time between spacecraft. The transmit laser beam steering angle needs to be adjusted at least once every few minutes with an
PAC,Particulate Contamination,
PAD,Parts Approval Document ,
PAN-STARRS,The Panoramic Survey Telescope & Rapid Response System,
PAR,phase accumulation register,
PARD,Product Assurance and Safety Requirement Document,
PARX,public archive,
PATP,Preliminary Authorisation To Proceed,
PBH,Primordial Black Hole,
PBS,Polarising Beam Splitter (might be an LPF acronym),
PCB,Parts Control Board,
PCB,Printed Circuit Board,
PCC,Payload Control Computer,
PCU,Power Conditioning Unit,
PCDU,Power Control And Distribution Unit,
PCOS,Physics of the Cosmos,
PCP,Payload Commanding and Processing,
PCP-GSE,Payload Commanding and Processing Ground Support Equipment,
PCS,Payload Control Subsystem,
PCU,Phasemeter Control Unit,or sometimes Power and Control Unit
PCU,Power Conditioning Unit,
PD,Photo Diode,
PDD,Payload Description Document,
PDF,Probability Density Function,
PDH,Probability Data Handling,
PDR,Preliminary Design Review,
PDS,Photo Detector System,
PEM,Payload Engineering Model,
PFCI,Potential Fracture Critical Item,
PFM,Proto-Flight Model,
PFO,Particle fallout,
PI,Principal Investigator,
PIAR,Performance and Impact Assessment Review,
PIR,phase increment register,
P/L,Payload,
PL,Power-Law (model),
PL,Plan,
PLL,Phase-Locked Loop,
PLS,Power Law Sensitivity,
PM,Project Management,
PM,Phase Meter,
PM,Proof Mass,
PMDSP,Phase Meter Digital Signal Processor,
PMF,Polarization-Maintaining Fibre,
PMFDE,Phase Meter Frequency Distribution Electronics,
PMFEE,Phase Meter Front-End Electronics,
PMP,"Parts, Materials and Processes",
PMON,Power Monitor(s),
PMR,Payload Management Requirements,
PMS,Phase Measurement Subsystem,Phasemeter
PN,Post-Newtonian,
PO,Purchase Order,
POR,Payload Operations Request,
PPE,Parameterized Post-Einsteinian,
PPR,Proper Pseudo-Range,
PPS,Pulse Per Second,
PPTA,Parkes Pulsar Timing Array,
PPU,Power Processing Unit,
PRD,Payload Requirement Document,
PRDS,Phase Reference Distribution System,
PRDS-OGSE,Phase Reference Distribution System - Optical Ground Support Equipment,
PRN,Pseudo-Random (Speudo Noise),
PRT,Platinum Resistance Thermometers,
PS,Project Scientist,
PSCU,Power Signal Conditioning Unit,"part of ePMS review datapack / QPR power supply and failure handling. Not to be confused with the SCU for thermal control and diagnostics (thermistors, heaters... etc)"
PSD,Power Spectral Density,
PSF,Point-Spread Function,
PSM,Power Supply Module,part of ePMS review datapack
PSR,Pulsar,
PT,Pilot Tone,The pilot tone (e.g. a 75 MHz sinusoidal tone) is added to beatnote signals within the phasemeter analog front end. Its purpose is to measure sampling aperture jitters within the ADCs which are later used to correct these jitters. [Timing architecture TN]
Pt,platinum,
PTA,Pulsar Timing Array,
PTF,Palomar Transient Factory,
PTR,Post Test Review,
PUS,Packet Utilisation Standard,
PVA,Photovoltaic Assembly,
PVC,Polyvinyl Chloride,
PY,Person Years,
QA,Quality Assurance,
QCI,Quality Conformance Inspection,
QE,Quantum Efficiency,
QM,Qualification Model,QM are like Flight Models (FM) but are usually stressed more during testing Qualification loads are higher than Verification Loads
QML,Qualified Manufacturer List,
QNM,Quasi-Normal Mode,
QPD,Quadrant Photodetector,Also called QPR
QPL,Qualified Product List,
