Acronym,Translation,Description
CE,Cosmic Explorer,
CFI,customer-furnished item,
CFRP,Carbon Fibre Reinforced Plastic,
CG,Cold Gas,
CGMPS,Cold Gas Micro Propulsion System,
CIP,Continuous Improvement Program,
CL,Confidence Level,
CLHT,Can LISA Hear This? (Detectability Calculator),
CM,Charging Mechanism,
CMB,Cosmic Microwave Background,
CMD,Charge Management Decive,
CMM,Coordinate Measuring Machine,
CMNT,Colloid Micro-Newton Thruster,
CMS,Charge Management System,
CMU,Charge Management Unit,
CNES,Centre National d'Études Spatiales,
COBE,Cosmic Background Explorer,
CoM,Center of Mass,
COMBO,Classifying Objects By Medium-Band Observations,
COMS,Communications System (telemetry),
COSMOS,Cosmic Evolution Survey,
COSWG,Cosmology Working Group,
COTS,Commercial off the Shelf,
CPIS,Consortium Provided Items,
CPTA,Chinese Pulsar Timing Array,
CQP,Calibrated Quadrant Photodiode Pair,
CS,Cosmic String,
CSD,Cross Spectral Density,
CST,Community Science Team,
CTE,thermal expansion coefficient,
CTP,Core Technology Program,
CVM,caging and venting mechanism,
CW,Continuous Wave,
CWD,Compact White Dwarf binaries,
D/A,Digital -To-Analogue Converter,
D/SRE,Director of Science & Robotic Exploration,
DA,Data Analysis,
DAAP,Deep Analysis Alert Pipeline,
DAC,Digital-to-Analog Converter,
DAFTWP,Data Analysis Framework and Tools Work Packages,
DAUGHTER-S,Daughter spacecraft,
DC,Direct Current,
DCBH,Direct Collapse Black Hole,
DCC,Data Computing Centre,
DCCS,Data Computing Centers,
DCIU,Digital Control Interface Unit,
DDE,Diagnostics Drive Electronics,
DDPC,Distributed Data Processing Center,
DDS,Data and Diagnostic Subsystem,
DEEP2,Deep Extragalactic Evolutionary Probe 2,
DF,drag-free,
DFACS,Drag-Free Attitude Control System,
DHLC,Data Handling And Laser Control,
DLL,delay-locked loop,
DLR,Deutsches Zentrum fuer Luft- und Raumfahrt,
DM,Dark Matter,
DMS,Document Management System,
DMU,Data Management Unit,
DOF,degree of freedom,
DP,Diagnostic Package,
DPC,Data Processing Centre,
DPEWG,Detection and Parameter Estimation Work Packages,
DPL,Daily Pipeline,
DPLL,Digital Phase Locked Loop,
DPS,Differential Power Sensing,
DR,data release,
DRS,Disturbance Reduction System,
DRPT,Data Release Product Team,
DS,Diagnostics Subsystem,
DSC,Daughter Space Craft,
DSCU,Diagnostics Signal Conditioning Unit,
DSN,Deep Space Network,
DSP,digital signal processor,
DTM,Deterministic Transfer Manoeuvre,
DTU,Danmarks Tekniske Universitet,
DWD,double white dwarf binary,
DWS,Differential Wavefront Sensing,
E2E,End-to-End,
EBB,Engineering (or Elegant) Bread Board,
EBM,External Balance Mass,
EC,Executive Committee,
ECSS,European Cooperation for Space Standardization,
EDU,Engineering Development Unit,
EEE,Electronic/Electrical Engineering Equipment,
EELV,Evolved Expendable Launch Vehicle,
EFC2,ESA/ESTEC Frame Contract 2,
EGAPS,European Galactic Plane Surveys,
EH,electrode housing,
EID,Experiment Interface Document,
EIRP,Equivalent Isotropic Radiative Power,
ELISA,Evolved Laser Interferometer Space Antenna,
ELITE,European LISA Technology Experiment,
ELT,Extremely Large Telescope,
ELV,Expendable Launch Vehicle,
EM,electro-magnetic,
EMC,Electro-Magentic Compatibility,
EMI,Electro-Magentic Interference,
EMRB,Extreme Mass-Ratio Bursts,
EMRI,extreme mass-ratio inspiral,
EOB,effective one-body,
EOL,End-Of-Life,
EOM,Electro-Optical Modulator,
EPMS,Extended Phase Measuring System,
EPS,Extended Press-Schechter Formalism,
EPTA,European Pulsar Timing Array,
EQM,Engineering and Qualification Model,
ERST,Early Release Science Time,
ESA,European Space Agency,
ESAC,European Space Astronomy Centre,
ESDC,ESAC Science Data Centre,
ESOC,European Space Operations Centre,
ESP,Extended Science Phase,
ESTEC,European Space Research and Technology Centre,
ESTRACK,European Space TRACKing,
ET,Einstein Telescope,
ETU,Engineering Thermal Unit,
EW,Electroweak,
FA,Fiber Amplifier,
FAQ,Frequently Asked Question(s),
FBD,Functional Block Diagram,
FCC,Future Circular Collider,
FDIR,"Failure Detection, Isolation, And Recovery",
FDS,frequency distribution system,
FE,Finite Element,
FEE,Front-End Electronics,
FEE SAU,Front-End Eletrctronics Sensing And Actuation Unit,
FEEP,Field-Emission Electric Propulsion,
FEM,Finite Element Model,
FF OGSE,Far-Field Optical Ground Support Equipment,
FF-OGSE,Far-Field Optical Ground Support Equipment,
FFOGSE,Far Field Optical Ground Support Equipment,
FIOS,fibre injector optical subassembly,
FITS,Flexible Image Transport System,
FM,Flight Model,
FMT,Formulation Management Team,
FOH,fibre optical harness,
FoM,Figures of Merit,
FOV,Field of View,
FOPT,First-Order Phase Transition,
FPAG,Fundamental Physics Advisory Group,
FPGA,field-programmable gate array,
FPWG,Fundamental Physics Working Group,
FR,Laser Frequency Reference,
FS,Flight Spare,
FSM,Finite State Machine,
FSU,fibre switching unit,
FSUA,fibre switching unit actuator,
FTE,Full-Time Equivalent,
GB,Galactic binary,
GCR,Galactic Cosmic Ray,
GCRS,Geocentric Celestial Reference System,
GOAT,Gravitational Observatory Advisory Team,
GPRM,"grabbing, positioning, and release mechanism",
GPS,Global Positioning System,
GR,General Theory of Relativity,
GR740,The ESA Next Generation Microprocessor (NGMP),
GRACE-FO,GRACE Follow-On,
GRB,Gamma-Ray Burst,
GRS,Gravitational Reference System,
GRSH,Gravitational Reference Sensor Head,
GS,Ground Station,
GSE,Ground Support Equipment,
GSF,Gravitational Self-Force,
GSFC,Goddard Space Flight Center,
GTO,Geostationary Transfer Orbit,
GUT,Grand Unified Theory,
GW,gravitational wave,
GW-WG,Gravitational-wave Observatory Working Group,
H/W,Hardware,
HDF,Hierarchical Data Format,
HDRM,Hold Down And Release Mechanism,
HEMP,High-Efficiency Micropropulsion,
HEO,High Earth Orbit,
HETO,Heliocentric Earth Trailing Orbit,
HG,Mercury,
HGA,High-Gain Antenna,
HK,Housekeeping,
HL-LHC,High Luminosity Large Hadron Collider,
HR,High Resolution,
HST,Hubble Space Telescope,
I&T,Integration and Test(ing),
I/F,interface,
IA,Instrument Amplifier,
IAAS,Infrastructure As A Service,
IAU,International Astronomical Union,
IBM,Internal Balance Mass,
ICC,Instrument Control Computer,
ICD,Interface Control Document,
ICRF,International Celestial Reference Frame,
ICRS,International Celestial Reference System,
ICSO,Innermost Stable Circular Orbit,
IDA,Initial Displacement Angle,
IDL,Interferometer Data Log,
IDS,Interferometric Detection Subsystem,
IFO,Interferometer,
IFP,In-Field Pointing,
IGM,Inter-Galactic Medium,
ILS,Instrument Line of Sight,
InGaAs,Indium-Gallium Arsenide,
InPTA,Indian pulsar Timing Array,
IMA,Integrated Modular Avionics,
IMBH,Intermediate-Mass Black Hole,
IMBHB,Intermediate Mass Black Hole Binary,
IMF,Initial Mass Function,
IMR,Inspiral-Merger-Ringdown,
IMRI,intermediate mass-ratio inspiral,
IMS,Interferometric Measurement System,
IN2P3,National Institute of Nuclear and Particle Physics,
INREP,Initial Noise Reduction Pipeline,
INSPRL,Interferometer in Space for Detecting Gravity-wave Radiation using Lasers,
IOCR,In-Orbit Commissioning Review,
IOT,Instruments Operations Team,
IPC,Industrial Policy Committee,
IPT,Integrated Product Team,
IPTF,intermediate Palomar Transient Factory,
IRD,Interface Requirement Document,
ISC,Inter-spacecraft Laser Communication,
ISH,Inertial Sensor Head,
ISI,inter-satellite interferometer,
ISM,Instrument Sensitivity Model,
ISPE,Instrument Scientists \& Payload Experts,
ISUK,Inertial Sensor UV Kit,
IT,Information Technology,
ITAR,International Traffic in Arms Regulations,
ITAT,Integrated Technical Advisory Team(s),
ITT,Invitation to Tender,
JILA,Joint Institute For Laboratory Astrophysics,
JPIP,Joint Project Implementation Plan,
JPL,Jet Propulsion Laboratory,
JWST,James Webb Space Telescope,
KAGRA,Kamioka Gravitational Wave Detector,
KSC,Kennedy Space Center,
L0.5,Level 0.5 data,
L0,Level 0 data,
L1,Level 1 data,
L2,Level 2 data,
L3,Level 3 data,
L3ST,L3 Study Team,
LA,laser assembly,
LAGOS,Laser Antenna for Gravitational-Radiation Observation in Space,
LCA,LISA core assembly,
LCC,Life Cycle Cost,
LCL,LISA Consortium Lead,
LCM,Spacecraft Composite Stack,
LDB,LISA Mission Database,
LDC,LISA Data Challenge,
LDCWG,LISA Data Challenge Working Group,
LDP,LISA Data Processing,
LDPG,LISA Data Progressing Group,
LED,light-emitting diode,
LEM,laser electrical module,
LEOP,Launch and Early Operations Phase,
LGA,low-gain antenna,
LH,laser head,
LHC,Large Hadron Collider,
LIC,LISA Instrument Consortium,
LID / LIC,Laser Induced Damage (LID) and Laser Induced Contamination (LIC),
LIG,LISA Instrument Group,
LIGO,Laser Interferometer Gravitational-Wave Observatory,
LIMAS,LISA Instrument and Metrology Avionics System,
LISA,Laser Interferometer Space Antenna,
LISA-MRD-0,Mission Requirement Document,
LISN,Line Impedance Stabilization Network,
LISPEG,LISA Instrument Scientists and Payload Experts Group,
LIST,LISA International Science Team,
LLAP,Low Latency Alert Pipeline,
LLD,Launch Lock Device,
LMC,Large Magellanic Cloud,
LMF,LISA Mission Formulation,
LMT,Large Momentum Transfer,
LO,local oscillator,
LOA,Letter of Agreement,
LOCS,LISA Opto-mechanical Core System,
LOLIPP,Level 0 To Level 1 Pipeline Procedure,
LOM,laser optical module,
LOS,line of sight,
LPF,LISA Pathfinder,
LPS,Laser Pre-stabilization System,
LRI,Laser-Ranging Interferometer,
LS,laser system,
LSG,LISA Science Group,
LSGCORE,LISA Science Group Core Team,
LSO,Last Stable Orbit,
LSS,Laser Systems,
LSST,Large Synoptic Survey Telescope,
LST,LISA Science Team,
LTP,LISA Pathfinder Technology Package,
LTPDA,LISA Technology Package Data Analysis,
LUT,Look-Up Table,
LVA,Launch Vehicle Adaptor,
LVDS,Low Voltage Differential Signaling,
LVK,"LIGO, Virgo, and KAGRA",
MA,Mission Assurance,
MAC,Mass Acceleration Curve,
MAR,Mission Adoption Review,
MAXI,Monitor Of All-Sky X-Ray Image,
MBH,Massive Black Hole,
MBHB,massive Black Hole binary,
MBW,Measurement Bandwidth,
MCI,"Mass, Center of gravity and Inertias",
MCMC,Markov-Chain Monte Carlo,
MCR,Mission Consolidation Review,
MCU,Mechanism Control Unit,
MDR,Main Data Repository,
MECC,Merger Event Coordination Committee,
MEL,Master Equipment List,
MEOP,Maximum Expected Operationg Pressure,
MFR,Mission Formulation Review,
MFS,main frequency stabilisation,
MGSE,Mechanical Ground Support Equipment,
MICD,Mechanical Interface Control Document,
MIDA,Mean (Earth) Initial Displacement Angle,
MIFO,Metallic Interferometer,
MLA,Multi-Lateral Agreement,
MLB,Motorised Light Band,
MLDC,Mock LISA Data Challenge,
MLI,Multi Layer Insulation,
MM,Mission Manager,
MMAWP,Multi-Messenger Astrophysics Work Package,
MMH,Monomethyl Hydrazine,
MO,main oscillator,
MOAD,Mission Operations Assumptions Document,
MOC,Mission Operations Centre,
MOFPA,Master Oscillator Fibre Power Amplifier,
MON-3,Mixed Oxides Of Nitrogen With Si3 Nitric Oxide,
MOPA,Main Oscillator Power Amplifier,
MOSA,Moving Optical Sub-Assembly,
MOT,Magneto-Optical Trap,
MOTHER-S/C,Mother spacecraft,
MoU,Memorandum of Understanding,
MPR,Mission Performance Requirement,
MPS CG,Cold Gas Micro Propulsion System,
MR,Mission Requirement,
MRD,Mission Requirement Document,
MRF,Mechanical Reference Frame,
MSC,Mother Spacecraft,
MSEM,Mission Systems Engineering Managers,
MSS,Mosa Support Structure,
MTS,Metasurface (antennas),
NANOGrav,North American Nanohertz Observatory for Gravitational Waves,
NASA,National Areonautic And Space Administration,
NCO,numerically controlled oscillator,
NDA,Non-Disclosure Agreement,
NECP,Near Earth Commissioning Phase,
NGGM,Next-Generation Gravity Mission,
NGMP,Next Generation Micro Processor,
NGO,New Gravitational Wave Observatory,
NGRM,Next Generation Radiation Monitor,
NICM,NASA Instrument Cost Model,
NLS,NASA Launch Services,
NLSO,NASA LISA Study Office,
NLST,NASA LISA Study Team,
NPMB,National Project Manager Board,
NPRO,Non-Planar Ring Oscillator,
NR,Numerical Relativity,
NRC,National Research Council,
NRE,Non-Recurring Engineering,
NRT,Near-Real-Time Pipeline,
NS,Neutron Star,
NSGS,NASA Science Ground Segment,
NSP,nominal science phase,
NSPIRES,NASA Solicitation and Proposal Integrated Review and Evaluation System,
NTC,Negative Temperature Coefficient,
NWNH,New Worlds New Horizons,
OAM,Optical Assembly Mechanics,
OAS,Optical Assembly Subsytem,
OATM,optical assembly tracking mechanism,
OB,optical bench,
OBA,optical bench assembly,
OBC,on-board computer,
OBCP,On-Board Control Procedure,
OBSW,On-Board Software,
OGSE,Optical Ground Support Equipment,
OM,Optical Model,
OMS,Optical Metrology System,
OP,Optical Path,
OPL,Optical Path Length,
OR,Operational Requirement,
ORO,Optical Read-Out,
OT,optical truss,
OTS,Optical Test Systems,
P/L,Payload,
P/M,Propulsion Module,
PA,power amplifier,
PAA,point-ahead angle,
PAAM,point-ahead angle mechanism,
PAC,Particulate Contamination,
PAN-STARRS,The Panoramic Survey Telescope & Rapid Response System,
PAR,phase accumulation register,
PARX,public archive,
PBH,Primordial Black Hole,
PBS,Polarising Beam Splitter (might be an LPF acronym),
PCC,Payload Control Computer,
PCDU,Power Control And Distribution Unit,
PCOS,Physics of the Cosmos,
PCP,Payload Commanding and Processing,
PCP-GSE,Payload Commanding and Processing Ground Support Equipment,
PCS,Payload Control Subsystem,
PCU,Power Conditioning Unit,
PD,Photo Diode,
PDD,Payload Description Document,
PDF,Probability Density Function,
PDH,Probability Data Handling,
PDH,Pound-Drever-Hall,
PDR,Project Design Review,
PDS,Photo Detector System,
PEM,Payload Engineering Model,
PFM,Proto-Flight Model,
PFO,Particle fallout,
PI,Principal Investigator,
PIAR,Performance and Impact Assessment Review,
PIR,phase increment register,
PL,Power-Law (model),
PLL,Phase-Locked Loop,
PLS,Power Law Sensitivity,
PM,"Project Management, Phase Meter, or Proof Mass",
PMDSP,Phase Meter Digital Signal Processor,
PMF,polarization-maintaining fibre,
PMFDE,Pahse Meter Frequency Distribution Electronics,
PMFEE,Phase Meter Front-End Electronics,
PMON,power monitor,
PMS,phase measurement subsystem,
PN,post-Newtonian,
POR,Payload Operations Request,
PPE,Parameterized Post-Einsteinian,
PPR,Proper Pseudo-Range,
PPTA,Parkes Pulsar Timing Array,
PPU,Power Processing Unit,
PRDS,Phase Reference Distribution System,
PRDS-OGSE,Phase Reference Distribution System - Optical Ground Support Equipment,
PRN,pseudo-random noise,
PRT,Platinum Resistance Thermometers,
PS,Project Scientist,
PSCU,Power Signal Conditioning Unit,
PSD,Power Spectral Density,
PSF,point-spread function,
PSM,Power Supply Module,
PSR,Pulsar,
PT,Phase Transition,
PTA,Pulsar Timing Array,
PTF,Palomar Transient Factory,
PY,Person Years,
QA,Quality Assurance,
QE,Quantum Efficiency,
QM,Qualification Model,
QNM,Quasi-Normal Mode,
QPD,quadrant photodetector,
QPR,quadrant photo receiver,
QSL,Quasi-Static Load,
QSO,Quasi-Stellar Object,
RACS,Reaction and Attitude Control subsystem (combined RCS and MPS),
RATS,Rapid Time Survey,
RDBMS,Relational Database Management System,
REF,reference,
RF,radio frequency,
RFA,Request for Frequency Assignment,
RFI,Request for Information,
RFI,reference interferometer,
RFP,Request for Proposal,
RIN,relative intensity noise,
RIT,Radio-Frequency Ion Thruster,
RIU,Remote Interface Unit,
RM,Radiation Monitor,
RMS,Root Mean Square,
ROB,Read Out Box,
RPE,"Relative Pointing/Performance Error (= jitter, = pointing stability)",
RSS,Root Sum Square,
RTB,Real-time Test Bed,
RTOS,Real Time Operating System,
RU,Reference Unit,
RX,receive,
RXTE,Rossi X-Ray Timing Explorer,
S/C,spacecraft,
S/C-P/M,Spacecraft/Propulsion-Module,
S/S,subsystem,
S/W,Software,
SAU,Sensing and Actuation Unit,
SAVOIR,Space Avionics Open Interface Architecture,
SBCC,Single Board Computer Core,
sBH,stellar-mass Black Hole,
sBHB,stellar-mass Black Hole binary,
SCCP,Science Commissioning and Calibration Phase,
SCET,Spacecraft Elapsed Time,
SCI,Science Directorate of ESA,
SCI-F,Future Missions Department in SCI,
SCI-S,Science and Operations Department in SCI,
SCI-SD,Development Division of SCI-S,
SciRD,Science Requirements Document,
SCO,stellar-mass compact object,
SCOC,Science Operations Coordinator,
SCOE,Special Check Out Equipment,
SCU,Signal Conditioning Unit,
SDM,SOC Development Manager,
SDP,system data pool,
SDS,Science Diagnostics Subsystem,
SDSS,Sloan Digital Sky Survey,
SE,System Engineer(ing),
SEO,System Engineering Office,
SEP,Solar Energetic Paricle,
SEPD,Single-Element Photo Diode,
SGO,Space-based Gravitational-wave Observatory,
SGS,Science Ground Segment,
SGWB,stochastic gravitational-wave background,
SI,Science investigation,
SIM,Space Interferometry Mission,
SIP,Science Implementation Plan,
SIPS,Science Implementation Plans,
SIR,System Integration Review,
SIRD,Science Implementation Requirement Document,
SISO,Single Input/Single Output,
SIWP,Science Interpretation Work Package,
SKA,Square Kilometre Array,
SL,Scatter Light,
SLI,Single Layer Insulation,
LS,laser system,
SMBH,Super-Massive Black Hole,
SMC,Small Magellanic Cloud,
SMF,Single Mode Fiber,
SMP,Science Management Plan,
SNR,signal-to-noise ratio,
SO,Science Objective,
SOAD,Science Operations Assumptions Document,
SOBH,Stellar Origin Black Hole,
SOBHB,Stellar Origin Black Hole Binary,
SOC,Science Operation Centre,
SOCD,Science Operations Concept Document,
SODPC,Science Operations Data Processing Center,
SOSL,Science Operations Study Lead,
SOVT,Science Operations Verifications Tests,
SPA,Stationary Phase Approximation,
SPC,Science Programme Committee,
SQUID,Superconducting Quantum Interference Device,
SRP,solar radiation pressure,
SRR,System Requirements Review,
SRS,spacecraft reference system,
SS,Sub-system,
SSB,solar system barycentre,
SSC,Senior Science Committee,
SSRD,Space Segment Requirements Document,
SST,Science Study Team,
STE,Service Time Equivalent,
STM,Structural Model,
STOC,Science Technology Operations Centre,
STOM,Structural Optical Model,
STOP,Structural Thermo-Optical Performance,
STP,Science Topical Panel,
STR,Coarse Star Tracker,
SWT,Science Working Team,
TAA,Technical Assistance Agreement,
TAS,Thales-Alenia Aerospace Systems,
TBC,To Be Confirmed,
TBD,To  Be Determined,
TBM,Trimming Balance Mass,
TBT,Thermal Balance Test,
TC,Telecommand,
TC/TM,Telecommand/Telemetry,
TCB,Barycentric Coordinate Time,
TCG,Geocentric Coordinate Time,
TCLS,Triple Core LockStep,
TCM,Trajectory Correction Manoeuvre,
TCS,Thermal Control Subsystem,
TCVR,Transceiver,
TDA,Technology Development Activities,
TDI,Time-Delay Interferometry,
TDI X,LISA's 2-arm configuration,
TECC,Transient Event Coordination Committee,
THE,On-Board Clock Time,
TIA,Transimpedance Amplifiers,
TL,or TEL Telescope,
TM,test mass,
TM,telemetry,
TMI,test mass interferometer,
TM-I/F,test mass interface,
TM-OGSE,Test-Mass Optical Ground Equipment,
TM/TC,Tele Measure/Tele Command,
TMTC,Telemetry and Telecommand,
TN,Technical Note,
TNO,Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek,
TOBA,telescope and optical bench assembly,
TOGA,"telescope, optical bench, and GRS assembly",
TP,Transfer Phase,
TPS,Spacecraft Proper Time,
TRA,Technology Readiness Assessment,
TRB,Test Review Board,
TRIP,Technical Readiness and Implementation Plan,
TRL,Technology Readiness Level,
TRP,Temperature Reference Points,
TRR,Test Readiness Review,
TS,Telescope,
TSP,Temporal and Spatial Partitioning,
TT&C,"Telemetry, Tracking, And Command",
TTL,tilt-to-length,
TVAC,Thermal Vacuum,
TVT,Thermal Vacuum Test,
TWTA,Traveling-Wave Tube Amplifier,
TX,transmit,
UART,Universal Asynchronous Receiver Transmitter,
UCB,Ultra-Compact Binaries,
ULU,UV light unit,
ULX,Ultra-Luminous X-ray source,
URL,Uniform Resource Locator,
USO,ultra-stable oscillator,
UTC,Coordinated Universal Time,
UV,ultra-violet,
V&V,Verification and Validation,
VAST,Variables And Slow Transients,
VB,verification binary,
VC,vacuum chamber,
VE,vacuum enclosure,
VLBI,Very-long-baseline interferometry,
Virgo,Virgo,
VMS,Very Massive Star,
WAVWG,Waveform Working Group,
WD,White Dwarf,
WFE,Wave Front Error,
WG,Working Group,
WMAP,Wilkison Microwave Anisotropy Probe,
WP,Work Package,
WPS,Work Packages,
WR,Wide Range,
WSB,Weak Stability Boundary,
XDA,X-band downlink assembly,
XGNSB,extragalactic neutron star binary,
XML,Extensible Markup Language,
XMRI,extremely mass-ratio inspiral,
ZIFO,Zerudur Interferomenter,
ZTF,Zwicky Transient Facility,
Au,gold,
Hg,mercury,
Mo,molybdenum,
Pt,platinum,
Ti,titanium,
W,tungsten,
Yb,ytterbium,
