Acronym,Translation,Description
IMBHB,Intermediate Mass Black Hole Binary,
IMRI,Intermediate Mass-Ratio Inspiral,
IMS,Interferometric Measurement System,
InSpRL,Interferometer in Space for Detecting Gravity-wave Radiation using Lasers,
IOCR,In-Orbit Commissioning Review,
IOT,Instrument Operations Team,
IPC,Industrial Policy Committee,
IPT,Integrated Product Team,
iPTF,intermediate Palomar Transient Factory,
ISC,Inter-spacecraft Laser Communication,
ISM,Instrument Sensitivity Model,
ISM,Interstellar Medium,
ITAR,International Traffic in Arms Regulations,
ITAT,Integrated Technical Advisory Team(s),
ITT,Invitation To Tender,
JILA,Joint Institute for Laboratory Astrophysics,
JPL,Jet Propulsion Laboratory,
JWST,James Webb Space Telescope,
KAGRA,Kamioka Gravitational-wave Detector,
KSC,Kennedy Space Center,
L3ST,L3 Study Team,
LAGOS,Laser Antenna for Gravitational-radiation Observation in Space,
LCA,LISA Core Assembly,
LCC,Life Cycle Cost,
LCL,LISA Consortium Lead,
LCM,LISA Core Module,
LDB,LISA Mission Database,
LDC,LISA Data Challenge,
LDPG,LISA Data Processing Group,
LED,Light-Emitting Diode,
LEOP,Launch and Early Operations,
LGA,Low Gain Antenna,
LIGO,Laser Interferometer Gravitational-wave Observatory,
LIMAS,LISA Instrument and Metrology Avionics System,
LISA,Laser Interferometer Space Antenna,
LIST,Laser International Science Team,
LLD,Launch Lock Device,
LMC,Large Magellanic Cloud,
LMF,LISA Mission Formulation,
LMT,Large Momentum Transfer,
LoA,Letter of Agreement,
LOCS,LISA Opto-mechanical Core System,
LOLIPP,Level 0 to Level 1 Pipeline Procedure,
LOS,Line of Sight,
LOS,Loss of Signal,
LPF,LISA Pathfinder,
LRI,Laser-Ranging Interferometer,
LS,Laser Subsystem,
LSG,LISA Science Group,
LSO,Last Stable Orbit,
LSST,Large Synoptic Survey Telescope,
LTP,LISA (Pathfinder) Technology Package,
LVA,Launch Vehicle Adaptor,
MA,Mission Assurance,
MAXI,Monitor of All-sky X-ray Image,
MBH,Massive Black Hole,
MBHB,Massive Black Hole Binary,
MBW,Measurement Bandwidth,
MCMC,Markov-Chain Monte Carlo (simulation),
MECC,Merger Event Coordination Committee,
MEL,Master Equipment List,
MEOP,Maximum Expected Operating Pressure,
MLA,Multi-Lateral Agreement,
MLB,Motorized Light Band,
MLDC,Mock LISA Data Challenge,
MLI,Multi-Layer Insulation,
MMH,Monomethyl Hydrazine,
MOC,Mission Operations Center,
MOPA,Master Oscillator Power Amplifier,
MON-3,Mixed Oxides of Nitrogen with SI3 nitric oxide,
MOSA,Moving Optical Sub-Assembly,
MOT,Magneto-Optical Trap,
MOU,Memorandum of Understanding,
MPR,Mission Performance Requirement,
MR,Measurement Requirement,
MR,Mission Requirement,
MRD,Mission Requirements Document,
MSC,Mother Spacecraft,
MSEM,Mission Systems Engineering Managers,
MSS,MOSA Support Structure,
NANOGrav,North American Nanohertz Observatory for Gravitational Waves,
NASA,National Aeronautics and Space Administration,
NDA,Non-Disclosure Agreement,
NGO,New Gravitational-wave Observatory,
NICM,NASA Instrument Cost Model,
NLS,NASA Launch Services,
NLSO,NASA LISA Study Office,
NLST,NASA LISA Study Team,
NPRO,Non-Planar Ring Oscillator,
NR,Numerical Relativity,
NRC,National Research Council,
NRE,Non-Recurring Engineering,
NS,Neutron Star,
NSPIRES,NASA Solicitation and Proposal Integrated Review and Evaluation System,
NWNH,New Worlds New Horizons,
OAS,Optical Assembly Subsystem,
OATM,Optical Assembly Tracking Mechanism,
OAM,Optical Assembly Mechanics,
OB,Optical Bench,
OBA,Optical Bench Assembly,
OBC,On-Board Computer,
OMS,Optical Metrology System,
OR,Operational Requirement,
ORO,Optical Read-Out,
P/L,Payload,
P/M,Propulsion Module,
PAA,Point-Ahead Angle,
PAAM,Point-Ahead Actuation Mechanism,
PBH,Primordial Black Hole,
PCC,Payload Control Computer,
PCDU,Power Control and Distribution Unit,
PCS,Payload Control Subsystem,
PCOS,Physics of the Cosmos,
PDF,Probability Density Function,
PDH,Probability Data Handling,
PDR,Project Design Review,
PEM,Payload Engineering Model,
PFM,Proto-Flight Model,
PI,Principal Investigator,
PL,Power-Law (model),
PLL,Phase-Locked Loop,
PM,"Project Management, Phase Meter, or Proof Mass",
PMDSP,Phase Meter Digital Signal Processor,
PMFDE,Phase Meter Frequency Distribution Electronics,
PMFEE,Phase Meter Front-End Electronics,
PMS,Phase Measurement Subsystem,
PN,Post-Newtonian,
PPU,Power Processing Unit,
PRN,Pseudo-Random Noise,
PSD,Power Spectral Density,
PSF,Point Spread Function,
PSR,Pulsar,
PTA,Pulsar Timing Array,
PTF,Palomar Transient Factory,
QE,Quantum Efficiency,
QM,Qualification Model,
QNM,Quasi-Normal Mode,
QPD,Quadrant Photodetector,
QSO,Quasi-Stellar Object,
RATS,Rapid Time Survey,
RF,Radio Frequency,
RFI,Request for Information,
RFP,Request for Proposal,
RIN,Relative Intensity Noise,
RIT,Radio frequency Ion Thruster,
RMS,Root Mean Square,
RSS,Root Sum Square,
RTB,Real-time Test Bed,
RX,Received Laser (from far Spacecraft),
"S/C, SC",Spacecraft,
S/W,Software,
SciRD,Science Requirements Document,
SCO,Stellar-mass Compact Object,
SCOE,Special Check Out Equipment,
SE,System Engineer(ing),
SEO,System Engineering Office,
SEP,Solar Energetic Paricle,
SEPD,Single-Element Photodiode,
SGO,Space-based Gravitational-wave Observatory,
SGWB,Stochastic Gravitational-wave Background,
SI,Science investigation,
SIR,System Integration Review,
SISO,Single Input / Single Output,
SMBH,Supermassive Black Hole,
SMC,Small Magellanic Cloud,
SNR,Signal-to-Noise ratio,
SO,Science objective,
SOBH,Stellar origin black hole,
SOC,Science Operations Centre,
SODPC,Science Operations Data Processing Center,
SPC,Science Programme Committee,
SRR,System Requirements Review,
SS,Sub-system,
SSB,Solar System Barycenter,
SSC,Senior Science Committee,
SST,Science Study Team,
STM,Structural Thermal Model,
STOC,Science Technology Operations Centre,
SWT,Science Working Team,
TAA,Technical Assistance Agreement,
TAS,Thales-Alenia Aerospace Systems,
TBD,To Be Determined,
TC/TM,Telecommand / Telemetry,
TCM,Trajectory Correction Maneuver,
TDA,Technology Development Activities,
TDI,Time-Delay Interferometry,
TDI X,LISA's 2-arm configuration,
TECC,Transient Event Coordination Committee,
TM,Test Mass,
TN,Technical Note,
TRIP,Technical Readiness and Implementation Plan,
TRL,Technical Readiness Level,
TRP,Temperature Reference Points,
TS,Telescope,
TT&C,"Telemetry, Tracking, and Command",
TWTA,Traveling Wave Tube Amplifier,
TX,Transmitted Laser (main laser in OB),
UCB,Ultra-Compact Binaries,
ULX,Ultra-Luminous X-ray source,
ULU,Ultraviolet Light Unit,
URL,Uniform Resource Locator,
USO,Ultra Stable Oscillator,
UV,Ultraviolet,
V&V,Verification and Validation,
WD,White Dwarf,
WSB,Weak Stability Boundary,
XGNSB,Extragalactic Neutron Star Binary,
XML,Extensible Markup Language,
ZTF,Zwicky Transient Facility,
