Acronym,Translation,Description
TCG,Geocentric Coordinate Time,
TCLS,Triple Core LockStep,
TCM,Trajectory Correction Manoeuvre,
TCS,Thermal Control Subsystem,
TDA,Technology Development Activities,
TDI,Time-Delay Interferometry,
TDI X,LISA's 2-arm configuration,
TECC,Transient Event Coordination Committee,
THE,On-Board Clock Time,
TL,or TEL Telescope,
TM,"Test Mass, Often Proof Mass",
TM-OGSE,Test-Mass Optical Ground Equipment,
TM/TC,Tele Measure/Tele Command,
TMTC,Telemetry and Telecommand,
TN,Technical Note,
TNO,Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek,
TOBA,Telescope & Optical Bench Assembly,
TOGA,"Telescope, Optical Bench & GRS Assembly",
TP,Transfer Phase,
TPS,Spacecraft Proper Time,
TRB,Test Review Board,
TRIP,Technical Readiness and Implementation Plan,
TRL,Technology Readiness Level,
TRP,Temperature Reference Points,
TRR,Test Readiness Review,
TS,Telescope,
TSP,Temporal and Spatial Partitioning,
TT&C,"Telemetry, Tracking, And Command",
TTL,Tilt to length,
TVAC,Thermal Vacuum,
TVT,Thermal Vacuum Test,
TWTA,Traveling-Wave Tube Amplifier,
TX,Transmitted Laser (main laser in OB),
TX,Transmission,
UCB,Ultra-Compact Binaries,
ULU,UV Light Unit,
ULX,Ultra-Luminous X-ray source,
URL,Uniform Resrouce Locator,
USO,Ultra-Stable Oscillator,
UTC,Coordinated Universal Time,
UV,Ultra-Violet,
V&V,Verification and Validation,
VAST,Variables And Slow Transients,An Askap Survey For Variables And Slow Transients Is A Survey Science Project For The Australian Ska Pathfinder
VB,Verification Binary,
VC,Vacuum Chamber,
VE,Vacuum Enclosure,
VMS,Very Massice  Star,
WD,White Dwarf,
WFE,Wave Front Error,
WG,Working Group,
WMAP,Wilkison Microwave Anisotropy Probe,
WP,Work Package,
WPS,Work Packages,
WR,Wide Range,
WSB,Weak Stability Boundary,
WAVWG,Waveform Working Group,
XGNSB,Extragalactic Neutron Star Binary,
XML,Extensible Markup Language,
ZIFO,Zerudur Interferomenter,
ZTF,Zwicky Transient Facility,
EPMS,extended Phase Measurement Subsystem,
