Acronym,Translation,Description
PT,Pilot Tone,The pilot tone (e.g. a 75 MHz sinusoidal tone) is added to beatnote signals within the phasemeter analog front end. Its purpose is to measure sampling aperture ji�ers within the ADCs which are later used to correct these jitt�ers. [Timing architecture TN]
PTA,Pulsar Timing Array,
PTF,Palomar Transient Factory,
PY,Person Years,
QA,Quality Assurance,
QE,Quantum Efficiency,
QM,Qualification Model,QM are like Flight Models (FM) but are usually stressed more during testing Qualification loads are higher than Verification Laods
QNM,Quasi-Normal Mode,
QPD,Quadrant Photodetector,Also called QPR
QPR,Quadrant Photo-Receiver,"Each QPR features three main components: 1) an InGaAs quadrant photodiode (QPD) with four segments, aiming to convert the optical signal into a photocurrent;2) a front-end electronics (FEE) with the main goal of amplifying each QPD segment�s photocurrent and converting it into voltage;3) a mechanica"
QSL,Quasi-Static Load,
QSO,Quasi-Stellar Object,
RACS,Reaction and Attitude Control subsystem (combined RCS and MPS),
RATS,Rapid Time Survey,
REF,reference,
RF,Radio Frequency,
RFA,Request for Frequency Assignment,
RFI,Request for Information,
RFP,Request for Proposal,
RIN,Relative Intensity Noise,
RIT,Radio-Frequency Ion Thruster,
RIU,Remote Interface Unit,
RM,Radiation Monitor,
RMS,Root Mean Square,
ROB,Read Out Box,
RPE,"Relative Pointing/Performance Error (= jitter, = pointing stability)","Control Performance ECSS says Relative Performance Error, but knowing this is specifically about pointing performance� // the angular separation between the instantaneous pointing direction and the short-time (*) average pointing direction during a given time period. (*) discussion on this delta-t d"
RSS,Root Sum Square,
RTB,Real-time Test Bed,
RTOS,Real Time Operating System,
RU,Reference Unit,"[GRS-FEE] In the baseline design of the SAU an additional unit, the Reference Unit (RU), is introduced providing common very stable voltage reference to all Analog Units (AUs)."
RX,Reception,
RX,Received Laser (from far Spacecraft),
RXTE,Rossi X-Ray Timing Explorer,
S/C,Spacecraft,
"S/C, SC",Spacecraft,
S/C-P/M,Spacecraft/Propulsion-Module,
S/S,subsystem,
S/W,Software,
SAU,Sensing and Actuation Unit,Part of the Graviational Reference Sensor (GRS) Front End Electrionics (FEE) - a contribution by Switzerland.
SAVOIR,Space AVionics Open Interface aRchitecture,
SBCC,Single Board Computer Core,
SC,Spacecraft,
SCCP,Science Commissioning and Calibration Phase,
SCET,Spacecraft Elapsed Time,
SCI,Science Directorate of ESA,
SCI-F,Future Missions Department in SCI,
SCI-S,Science and Operations Department in SCI,
SCI-SD,Development Division of SCI-S,
SCIRD,Science Requirements Document,
SCIRD,Science Requirement Document,
SCIRD,Science Requirement Document,
SCO,Stellar-mass Compact Object,
SCOE,Special Check Out Equipment,
SCU,Signal Conditioning Unit,
SDM,SOC Development Manager,
SDP,system data pool,
SDSS,Sloan Digital Sky Survey,
SE,System Engineer(ing),
SEO,System Engineering Office,We need this because we have several Systems Engineers from the different parties
SEP,Solar Energetic Paricle,
SEPD,Single-Element Photo Diode,
SGO,Space-based Gravitational-wave Observatory,
SGS,Science Ground Segment,
SGWB,Stochastic Gravitational-wave Background,
SI,Science investigation,
SIM,Space Interferometry Mission,
SIP,Science Implementation Plan,
SIPS,Science Implementation Plans,
SIR,System Integration Review,
SIRD,Science Implementation Requirement Document,
SISO,Single Input/Single Output,
SIWP,Science Interpretation Work Package,
SL,Scatter Light,
SLI,Single Layer Insulation,
SMBH,Super-Massive Black Hole,
SMC,Small Magellanic Cloud,
SMF,Single Mode Fiber,
SMP,Science Management Plan,
SNR,Signal-To-Noise Ratio,
SO,Science objective,
SOAD,Science Operations Assumptions Document,
SOBH,Stellar origin black hole,
SOBHB,Stellar Origin Black Hole Binary,
SOC,Science Operation Centre,
SOCD,Science Operations Concept Document,
SODPC,Science Operations Data Processing Center,
SOSL,Science Operations Study Lead,
SOVT,Science Operations Verifications Tests,
SPA,Stationary Phase Approximation,
SPC,Science Programme Committee,
SQUID,Superconducting Quantum Interference Device,
SRP,solar radiation pressure,
SRR,System Requirements Review,
SRS,spacecraft reference system,
SRS,spacecraft reference system,
SS,Sub-system,
SSB,Solar System Barycenter,
SSC,Senior Science Committee,
SST,Science Study Team,
STE,Service Time Equivalent,
STM,Structural Model,"STM have all the structure, usually no or very limited functionality"
STOC,Science Technology Operations Centre,
STOM,Structural Optical Model,
STOP,Structural Thermo-Optical Performance,
STR,Coarse Star Tracker,
SWT,Ngo Scence Working Team,
SCOC,Science Operations Coordinator,
TAA,Technical Assistance Agreement,
TAS,Thales-Alenia Aerospace Systems,
TBC,To Be Confirmed,
TBD,To  Be Determined,
TBM,Trimming Balance Mass,
TBT,Thermal Balance Test,
TC,Telecommand,
TC/TM,Telecommand/Telemetry,
TCB,Barycentric Coordinate Time,
TCG,Geocentric Coordinate Time,
TCLS,Triple Core LockStep,
TCM,Trajectory Correction Manoeuvre,
TCS,Thermal Control Subsystem,
TCVR,Transceiver,
TDA,Technology Development Activities,
TDI,Time-Delay Interferometry,
TDI X,LISA's 2-arm configuration,
TECC,Transient Event Coordination Committee,
THE,On-Board Clock Time,
TIA,Transimpedance Amplifiers,The photo current generated by the photodiode is converted to a voltage byva transimpedance amplifier (TIA) [from Maike's thesis]
TL,or TEL Telescope,
TM,"Test Mass, Often Proof Mass",
TM-OGSE,Test-Mass Optical Ground Equipment,
TM/TC,Tele Measure/Tele Command,
TMTC,Telemetry and Telecommand,
TN,Technical Note,
TNO,Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek,
TOBA,Telescope & Optical Bench Assembly,
TOGA,"Telescope, Optical Bench & GRS Assembly",
TP,Transfer Phase,
TPS,Spacecraft Proper Time,
TRB,Test Review Board,
TRIP,Technical Readiness and Implementation Plan,
TRL,Technology Readiness Level,
TRP,Temperature Reference Points,
TRR,Test Readiness Review,
TS,Telescope,
TSP,Temporal and Spatial Partitioning,
TT&C,"Telemetry, Tracking, And Command",
TTL,Tilt to length,
TVAC,Thermal Vacuum,
TVT,Thermal Vacuum Test,
TWTA,Traveling-Wave Tube Amplifier,
TX,Transmission,
TX,Transmitted Laser (main laser in OB),
UART,Universal Asynchronous Receiver Transmitter,
UCB,Ultra-Compact Binaries,
ULU,UV Light Unit,
ULX,Ultra-Luminous X-ray source,
URL,Uniform Resrouce Locator,
USO,Ultra-Stable Oscillator,
UTC,Coordinated Universal Time,
UV,Ultra-Violet,
V&V,Verification and Validation,
VAST,Variables And Slow Transients,An Askap Survey For Variables And Slow Transients Is A Survey Science Project For The Australian Ska Pathfinder
VB,Verification Binary,
VC,Vacuum Chamber,
VE,Vacuum Enclosure,
VMS,Very Massice  Star,
WAVWG,Waveform Working Group,
WD,White Dwarf,
WFE,Wave Front Error,
WG,Working Group,
WMAP,Wilkison Microwave Anisotropy Probe,
WP,Work Package,
WPS,Work Packages,
WR,Wide Range,"[PDD] The GRS FEE is based on the 100 kHz capacitive sensing and audio-frequency actuation unit used in LPF. It has both High Resolution (HR) and Wide Range (WR) modes, offering, respectively, science mode operation with small displacements (up to 100 _m) and actuation forces (several nN) and a test"
WSB,Weak Stability Boundary,
XDA,X-band Downlink Assembly,
XGNSB,Extragalactic Neutron Star Binary,
XML,Extensible Markup Language,
ZIFO,Zerudur Interferomenter,
ZTF,Zwicky Transient Facility,
