Acronym,Translation,Description
HR,High Resolution,"[PDD] The GRS FEE is based on the 100 kHz capacitive sensing and audio-frequency actuation unit used in LPF. It has both High Resolution (HR) and Wide Range (WR) modes, offering, respectively, science mode operation with small displacements (up to 100 _m) and actuation forces (several nN) and a test"
HST,Hubble Space Telescope,
I&T,Integration and Test(ing),
I/F,interface,
IA,Instrument Amplifier,
IAAS,Infrastructure As A Service,
IAU,International Astronomical Union,
IBM,Internal Balance Mass,
ICC,Instrument Control Computer,cf EID-B 8.6
ICD,Interface Control Document,
ICRF,International Celestial Reference Frame,
ICRS,International Celestial Reference System,
ICSO,Innermost Stable Circular Orbit,
IDA,Initial Displacement Angle,
IDL,Interferometer Data Log,
IDS,Interferometric Detection System,"Contains the Optical Bench, Phasemeter and Optical Bench Mechanism Control Unit (MCU)."
IFO,InterFerOmeter,
IFP,In-Field Pointing,
IGM,Inter-Galactic Medium,
ILS,Instrument Line of Sight,cf EID-A EIDA-R010290
IMA,Integrated Modular Avionics,
IMBH,Intermediate-Mass Black Hole,
IMBHB,Intermediate Mass Black Hole Binary,
IMF,Initial Mass Function,
IMR,Inspiral-Merger-Ringdown,
IMRI,Intermediate Mass-Ratio Inspiral,
IMS,Interferometric Measurement System,
IN2P3,National Institute of Nuclear and Particle Physics,
INGAAS,Indium-Gallium Arsenide,
INPTA,Indian pulsar Timing Array,
INREP,Initial Noise Reduction Pipeline,This is a part of the L0 to L1 pipeline
INSPRL,Interferometer in Space for Detecting Gravity-wave Radiation using Lasers,
IOCR,In-Orbit Commissioning Review,
IOT,Instruments Operations Team,
IPC,Industrial Policy Committee,
IPT,Integrated Product Team,
IPTF,intermediate Palomar Transient Factory,
IPU,Interferometric Processing Unit,A unit of the Phasemeter (PMS) that connects to the QPRs and performs the phase extraction using DPLLs.
IRD,Interface Requirement Document,
ISC,Inter-spacecraft Laser Communication,
ISH,Inertial Sensor Head,
ISI,Inter-Satellite Interferometer,
ISM,Instrument Sensitivity Model,
ISO,International Organization for Standardization,
ISPE,Instrument Scientists \& Payload Experts,
ISUK,Inertial Sensor UV Kit,
IT,Information Technology,
ITAR,International Traffic in Arms Regulations,
ITAT,Integrated Technical Advisory Team(s),
ITT,Invitation To Tender,
JILA,Joint Institute For Laboratory Astrophysics,
JPIP,Joint Project Implementation Plan,
JPL,Jet Propulsion Laboratory,
JWST,James Webb Space Telescope,
KAGRA,Kamioka Gravitational-wave Detector,
KSC,Kennedy Space Center,
L0,Level 0 data,Raw data from the Phasemeter (PMS) phase extraction and filtering, delivered by the PCU to the spacecraft platform and then downlinked to Earth.
L0.5,Level 0.5 data,
L1,Level 1 data,TDI data streams
L2,Level 2 data,After global fit. Propablity functions for individual sources.
L3,Level 3 data,Catalogue of sources.
L3ST,L3 Study Team,
LA,Laser Assembly,
LAGOS,Laser Antenna For Gravitational-Radiation Observation In Space,
LCA,Lisa Core Assembly,
LCC,Life Cycle Cost,
LCL,LISA Consortium Lead,
LCM,Spacecraft Composite Stack,
LD,Laser Diode,
LDB,Lisa Mission Database,
LDC,Lisa Data Challenge,Formerly called MLDC
LDCWG,LISA Data Challenge Working Group,
LDP,LISA Data Processing,
LDPG,Lisa Data Progressing Group,
LECS,LISA Early Career Scientist Group,"The Early Career Scientist Group intends to gather consortium members at an early stage of their careers (PhD students, postdocs, assistant professors, etc). Physicists and engineers are very welcome to express their interest, especially new-comers."
LED,Light-Emitting Diode,
LEM,Laser Electrical Module,
LEOP,Launch and Early Operations Phase,
LFS,Laser Frequency Stabilisation,
LGA,Low-Gain Antenna,
LH,Laser Head,
LHC,Large Hadron Collider,
LIC,Lisa Instrument Consortium,Payload providers
LID / LIC,Laser Induced Damage (LID) and Laser Induced Contamination (LIC),
LIG,LISA Instrument Group,
LIGO,Laser Interferemeter Gravitational Wave Observartory,
LIMAS,LISA Instrument and Metrology Avionics System,
LISA,Laser Interferometer Space Antenna,"LISA is a mission designed to measure gravitational radiation over a broad band at low frequencies, from about 0.1 mHz to 0.1 Hz, a band where the universe is richly populated by strong sources of gravitational waves."
LISA-MRD-0,Mission Requirement Document,
LISN,Line Impedance Stabilization Network,
LISPEG,LISA Instrument Scientists and Payload Experts Group,
LIST,Lisa International Science Team,
LLAP,Low Latency Alert Pipeline,
LLD,Launch Lock Device,
LLI,Long Lead Item,
LMC,Large Magellanic Cloud,
LMF,LISA Mission Formulation,
LMT,Large Momentum Transfer,
LO,Local Oscillator,
LOA,Letter of Agreement,
LOCS,LISA Opto-mechanical Core System,
LOLIPP,Level 0 To Levl 1 Pipeline Procedure,
LOM,Laser Optical Module,
LOS,Line Of Sight,
LPF,Lisa Pathfinder,
LPS,Laser Pre-stabilization System,
LRI,Laser-Ranging Interferometer,
LS,Laser Subsystem,
LSG,Lisa Science Group,People from the community but not in the LISA Study Team
LSGCORE,LISA Science Group Core Team,
LSO,Last Stable Orbit,
LSS,Laser Systems,
LSST,Large Synoptic Survey Telescope,
LST,LISA Science Team,
LTP,Lisa Pathfinder Technology Package,
LTPDA,LISA Technology Package Data Analysis,LTPDA is a MATLAB toolbox that uses an object-oriented approach to data analysis (https://www.elisascience.org/ltpda/)
LUT,Look-Up Table,
LVA,Launch Vehicle Adaptor,
LVDS,Low Voltage Differential Signaling,
LVK,"LIGO, Virgo, and KAGRA",
MA,Mission Assurance,
MAC,Mass Acceleration Curve,
MAG,Mission Analysis Guidelines,
MAR,Mission Adoption Review,
MAXI,Monitor Of All-Sky X-Ray Image,
MBE,Model Best Estimate,
MBH,Massive Black Hole,
MBHB,Massive Black Hole Binary,
MBW,Measurement Bandwidth,
MCI,"Mass, Center of gravity and Inertias",
MCMC,Markov-Chain Monte Carlo,
MCR,Mission Consolidation Review,
MCU,Mechanism Control Unit,"[IDS doc] The Mechanism Control Unit (MCU) is an avionics unit dedicated to the control of the mechanisms mounted on the optical bench. These mechanisms are: the PAAM, the FSUA and the BAM. The unit shall interface with the mechanisms to provide power and command and control functions."
MDR,Main Data Repository,
MECC,Merger Event Coordination Committee,
MEL,Master Equipment List,
MEOP,Maximum Expected Operationg Pressure,
MFR,Mission Formulation Review,
MFS,Main Frequency Stabilisation,
MGSE,Mechanical Ground Support Equipment,
MICD,Mechanical Interface Control Document,
MIDA,Mean (Earth) Initial Displacement Angle,
MIFO,Metallic Interferometer,
MIRD,Mission Implementation Requirement Document,
MLA,Multi-Lateral Agreement,
MLB,Motorised Light Band,
MLDC,Mock Lisa Data Challenge,
MLI,Multi Layer Insulation,
MM,Mission Manager,
MMAWP,Multi-Messenger Astrophysics Work Package,
MMH,Monomethyl Hydrazine,
MO,Maser Oscillator,
MO,molybdenum,
MOAD,Mission Operations Assumptions Document,
MOC,Mission Operations Centre,
MOFPA,Master Oscillator Fibre Power Amplifier,
MON-3,Mixed Oxides Of Nitrogen With Si3 Nitric Oxide,
MOPA,Master Oscillator Power Amplifier,
MOSA,Moving Optical Sub-Assembly,"Telescope, an optical bench, a gravitational reference sensor (including free falling TM) and a support structure"
MOT,Magneto-Optical Trap,
MOTHER-S/C,Mother spacecraft,
MOU,Memorandum of Understanding,"""Contract between ESA and the international partners (such as NASA)"""
MPR,Mission Performance Requirement,
MPS CG,Cold Gas Micro Propulsion System,
MR,Measurement Requirement,
MR,Mission Requirement,
MRD,Mission Requirements Document,The Mission Requirements Document (MRD) stems from the Science Requirements document [SciRD] and it contains the mission requirements considered necessary to achieve the science goals.
MRF,Mechanical Reference Frame,
MSC,Mother Spacecraft,
MSEM,Mission Systems Engineering Managers,
MSS,Mosa Support Structure,
MTR,Mid-Term Review,
MTS,Metasurface (antennas),
NA,Numerical Aperture,
NANOGRAV,North American Nanohertz Observatory for Gravitational Waves,
NASA,National Aeronautic And Space Administration,
NCO,numerically controlled oscillator,
NDA,Non-Disclosure Agreement,
NECP,Near Earth Commissioning Phase,
NEP,Noise Equivalent Power,
NGGM,Next-Generation Gravity Mission,
NGMP,Next Generation Micro Processor,
NGO,New Gravitational Wave Observatory,
NGRM,Next Generation Radiation Monitor,
NICM,NASA Instrument Cost Model,
NLS,NASA Launch Services,
NLSO,NASA LISA Study Office,
NLST,Nasa Lisa Study Team,
NPMB,National Project Manager Board,Meetings of all the stakeholders and contributors to LISA hardware
NPRO,Non-Planar Ring Oscillator,
NR,Numerical Relativity,
NRC,National Research Council,
NRE,Non-Recurring Engineering,
NRT,Near-Real-Time Pipeline,
NS,Neutron Star,
NSGS,NASA Science Ground Segment,
NSP,Nominal Science Phase,
NSPIRES,NASA Solicitation and Proposal Integrated Review and Evaluation System,
NTC,Negative Temperature Coefficient,"(some DIAG temp. sensors). NTC stands for �Negative Temperature Coefficient. NTC thermistors are resistors with a negative temperature coefficient, which means that the resistance decreases with increasing temperature. They are primarily used as resistive temperature sensors and current-limiting dev"
NWNH,New Worlds New Horizons,
OAM,Optical Assembly Mechanics,
OAS,Optical Assembly Subsytem,
OATM,Optical Assembly Tracking Mechanism,
OB,Optical Bench,
OBA,Optical Bench Assembly,
OBC,On-Board Computer,
OBCP,On-Board Control Procedure,LPF acronym at least
OBDH,On Board Data Handling,
OBSW,On-Board Software,
OGS,Operational Ground Segment,
OGSE,Optical Ground Support Equipment,
OM,Optical Model,
OMS,Optical Metrology System,
OP,Optical Path,
OPL,Optical Path Length,
OR,Operational Requirement,
ORO,Optical Read-Out,
OT,optical truss,
OTS,Optical Test Systems,
P/L,Payload,
P/M,Propulsion Module,
PA,Power Amplifier,
PA,Product Assurance,
PAA,Point-Ahead Angle,
PAAM,Point-Ahead Angle Mechanism,The PAAM is a steering mirror that points ahead the outgoing (RX) beam to compensate for the distance the distant spacecraft moves in the light travel time between spacecraft. (Thesis Maike)[IDS doc] The transmit laser beam steering angle needs to be adjusted at least once every few minutes with an
PAC,Particulate Contamination,
PAN-STARRS,The Panoramic Survey Telescope & Rapid Response System,
PAR,phase accumulation register,
PARD,Product Assurance Requirement Document,
PARX,public archive,
PBH,Primordial Black Hole,
PBS,Polarising Beam Splitter (might be an LPF acronym),
PCC,Payload Control Computer,
PCDU,Power Control And Distribution Unit,
PCOS,Physics of the Cosmos,
PCP,Payload Commanding and Processing,
PCP-GSE,Payload Commanding and Processing Ground Support Equipment,
PCS,Payload Control Subsystem,
PCU,Phasemeter Control Unit,The unit within the Phasemeter (PMS) that controls and powers the IPU and performs the laser transponder lock
PCU,Power Conditioning Unit,
PD,Photo Diode,
PDD,Payload Description Document,
PDF,Probability Density Function,
PDH,Propability Data Handling,
PDR,Preliminary Design Review,
PDS,Photo Detector System,
PEM,Payload Engineering Model,
PFM,Proto-Flight Model,
PFO,Particle fallout,
PI,Principal Investigator,
PIAR,Performance and Impact Assessment Review,
PIR,phase increment register,
PL,Payload,
PL,Power-Law (model),
PLL,Phase-Locked Loop,
PLS,Power Law Sensitivity,
PM,Progress Meeting,
PM,"Project Management, Phase Meter, or Proof Mass",
PMDSP,Phase Meter Digital Signal Processor,
PMF,Polarization-Maintaining Fibre,
PMFDE,Pahse Meter Frequency Distribution Electronics,
PMFEE,Phase Meter Front-End Electronics,
PMON,Power monitor(s),
PMS,Phase Measurement Subsystem,The Phase Measurement Subsystem or often just Phasemeter is made up of two units, the PCU and the IPU.
PN,Post-Newtonian,
POR,Payload Operations Request,
PPE,Parameterized Post-Einsteinian,
PPR,Proper Pseudo-Range,
PPTA,Parkes Pulsar Timing Array,
PPU,Power Processing Unit,
PRDS,Phase Reference Distribution System,
PRDS-OGSE,Phase Reference Distribution System - Optical Ground Support Equipment,
PRN,Pseudo-Random (Speudo Noise),
PRR,Preliminary Requirements Review,
PRT,Platinum Resistance Thermometers,
PS,Project Scientist,
PSCU,Power Signal Conditioning Unit,"part of ePMS review datapack / QPR power supply and failure handling. Not to be confused with the SCU for thermal control and diagnostics (thermistors, heaters... etc)"
PSD,Power Spectral Density,
PSF,Point-Pread Function,
PSM,Power Supply Module,part of ePMS review datapack
PSR,Pulsar,
PT,Pilot Tone,The pilot tone (e.g. a 75 MHz sinusoidal tone) is added to beatnote signals within the phasemeter analog front end. Its purpose is to measure sampling aperture jitters within the ADCs which are later used to correct these jitters. [Timing architecture TN]
PT,platinum,
PTA,Pulsar Timing Array,
PTF,Palomar Transient Factory,
PY,Person Years,
QA,Quality Assurance,
QE,Quantum Efficiency,
QM,Qualification Model,QM are like Flight Models (FM) but are usually stressed more during testing Qualification loads are higher than Verification Laods
QNM,Quasi-Normal Mode,
QPD,Quadrant Photodetector,Also called QPR
QPR,Quadrant Photo-Receiver,"Each QPR features three main components: 1) an InGaAs quadrant photodiode (QPD) with four segments, aiming to convert the optical signal into a photocurrent;2) a front-end electronics (FEE) with the main goal of amplifying each QPD segment�s photocurrent and converting it into voltage;3) a mechanica"
QSL,Quasi-Static Load,
QSO,Quasi-Stellar Object,
RAAN,Right Ascension of the Ascending Node,
RACS,Reaction and Attitude Control subsystem (combined RCS and MPS),
RAM,Random-Access Memory,
RATS,Rapid Time Survey,
RD,Reference Document,
RDBMS,Relational Database Management System,
REF,Reference,
RF,Radio Frequency,
RFA,Request for Frequency Assignment,
RFI,Request for Information,
RFP,Request for Proposal,
RIN,Relative Intensity Noise,
RIT,Radio-Frequency Ion Thruster,
RIU,Remote Interface Unit,
RM,Radiation Monitor,
RMS,Root Mean Square,
ROB,Read Out Box,
RPE,"Relative Pointing/Performance Error (= jitter, = pointing stability)","Control Performance ECSS says Relative Performance Error, but knowing this is specifically about pointing performance� // the angular separation between the instantaneous pointing direction and the short-time (*) average pointing direction during a given time period. (*) discussion on this delta-t d"
RS,Requirement Specification,
RSS,Root Sum Square,
RTB,Real-time Test Bed,
RTOS,Real Time Operating System,
RU,Reference Unit,"[GRS-FEE] In the baseline design of the SAU an additional unit, the Reference Unit (RU), is introduced providing common very stable voltage reference to all Analog Units (AUs)."
RX,Received Laser (from far Spacecraft),
RX,Reception,
RXTE,Rossi X-Ray Timing Explorer,
S/C,Spacecraft,
"S/C, SC",Spacecraft,
S/C-P/M,Spacecraft/Propulsion-Module,
S/S,subsystem,
S/W,Software,
SAU,Sensing and Actuation Unit,Part of the Graviational Reference Sensor (GRS) Front End Electrionics (FEE) - a contribution by Switzerland.
SAVOIR,Space AVionics Open Interface aRchitecture,
SBCC,Single Board Computer Core,
SBDL,Standard Balanced Digital Link,
SBH,stellar-mass Black Hole,
SBHB,stellar-mass Black Hole binary,
SBS,Stimulated Brillouin Scattering,
SC,Spacecraft,
SCCP,System Commissioning and Calibration Phase,
SCET,Spacecraft Elapsed Time,
SCI,Science Directorate of ESA,
SCI-F,Future Missions Department of ESA Directorate of Science,
SCI-M,"Project Control and Management Support Service, ESA Directorate of Science",
SCI-P,Projects Department of ESA Directorate of Science,
SCI-S,Science and Operations Department of ESA Directorate of Science,
SCI-SD,Development Division of SCI-S,
SCIRD,Science Requirements Document,
SCO,Stellar-mass Compact Object,
SCOC,Science Operations Coordinator,
SCOE,Special Check Out Equipment,
SCU,Signal Conditioning Unit,
SDM,SOC Development Manager,
SDP,system data pool,
SDS,Science Diagnostics Subsystem,
SDSS,Sloan Digital Sky Survey,
SE,System Engineer(ing),
SEO,System Engineering Office,We need this because we have several Systems Engineers from the different parties
SEP,Solar Energetic Paricle,
SEPD,Single-Element Photo Diode,
SGO,Space-based Gravitational-wave Observatory,
SGS,Science Ground Segment,
SGWB,Stochastic Gravitational-wave Background,
SI,Science investigation,
SIM,Space Interferometry Mission,
SIP,Science Implementation Plan,
SIPS,Science Implementation Plans,
SIR,System Integration Review,
SIRD,Science Implementation Requirements Document,
SISO,Single Input/Single Output,
SIWP,Science Interpretation Work Package,
SKA,Square Kilometre Array,
SL,Scatter Light,
SLI,Single Layer Insulation,
SMBH,Super-Massive Black Hole,
SMC,Small Magellanic Cloud,
SMF,Single Mode Fiber,
SMP,Science Management Plan,
SNR,Signal-To-Noise Ratio,
SO,Science objective,
SOAD,Science Operations Assumptions Document,
SOBH,Stellar origin black hole,
SOBHB,Stellar Origin Black Hole Binary,
SOC,Science Operation Centre,
SOCD,Science Operations Concept Document,
SODPC,Science Operations Data Processing Center,
SOSL,Science Operations Study Lead,
